master,random,greedy,beam,mcts,mcts_10seconds,mcts_1second,mcts_Cp10,mcts_cost+real,mcts_sqrt2,manual
bilateral_grid,-1,-1,-1,76179.0,45722.89743589744,-1,-1,-1,-1,-1,-1
local_laplacian,-1,-1,-1,387441.0,248570.4,-1,-1,-1,-1,-1,-1
nl_means,-1,-1,-1,232722.0,184757.93103448275,-1,-1,-1,-1,-1,-1
lens_blur,-1,-1,-1,513158.0,229008.0,-1,-1,-1,-1,-1,-1
camera_pipe,-1,-1,-1,156390.0,201821.05555555556,-1,-1,-1,-1,-1,-1
stencil_chain,-1,-1,-1,265650.0,318816.25,-1,-1,-1,-1,-1,-1
harris,-1,-1,-1,57064.0,286525.4864864865,-1,-1,-1,-1,-1,-1
hist,-1,-1,-1,31795.0,167222.84444444443,-1,-1,-1,-1,-1,-1
max_filter,-1,-1,-1,68444.0,90639.63043478261,-1,-1,-1,-1,-1,-1
unsharp,-1,-1,-1,54524.0,177578.0,-1,-1,-1,-1,-1,-1
interpolate,-1,-1,-1,243802.0,275208.3,-1,-1,-1,-1,-1,-1
conv_layer,-1,-1,-1,32828.0,35630.2987012987,-1,-1,-1,-1,-1,-1
iir_blur,-1,-1,-1,20887.0,116668.52631578948,-1,-1,-1,-1,-1,-1
bgu,-1,-1,-1,108986.0,33335.11111111111,-1,-1,-1,-1,-1,-1
mat_mul,-1,-1,-1,9558.0,187451.52631578947,-1,-1,-1,-1,-1,-1
resnet_50_blockwise,-1,-1,-1,3462086.0,3056716.2,-1,-1,-1,-1,-1,-1
